"(new)","(جديد)"
"(no drawee bank)","(بدون بنك مسحوب عليه)"
"0-7 Days","من 0 إلى 7 أيام"
"15-30 Days","من 15 إلى 30 يومًا"
"8-14 Days","من 8 إلى 14 يومًا"
"<b>{0} of {1} cheques failed to transition to Deposited:</b><br/>{2}<br/><br/>The remaining cheques were marked Deposited successfully. Fix the failed cheques individually.","<b>تعذّر نقل {0} من {1} شيكًا إلى حالة مودع:</b><br/>{2}<br/><br/>وتم تعليم باقي الشيكات كمودعة بنجاح. عالج الشيكات المتعثرة كل على حدة."
">30 Days","أكثر من 30 يومًا"
"A cheque cannot replace itself.","لا يمكن للشيك أن يحل محل نفسه."
"Account Closed","الحساب مغلق"
"Accounting Links","الروابط المحاسبية"
"All {0} cheques failed to transition to Deposited:<br/>{1}","تعذّر نقل الشيكات الـ {0} جميعها إلى حالة مودع:<br/>{1}"
"Alphanumeric Pattern","نمط حروف وأرقام"
"Amount mismatch: Cheque {0} is {1} but Payment Entry {2} is {3}. The Payment Entry is what posts to the ledger — correct one of them.","اختلاف في المبلغ: الشيك {0} بمبلغ {1} بينما قيد السداد {2} بمبلغ {3}. وقيد السداد هو ما يُرحَّل إلى الدفاتر — صحِّح أحدهما."
"Attachments & Notes","المرفقات والملاحظات"
"Bank Account is required before marking as Cleared.","الحساب البنكي مطلوب قبل تعليم الشيك كمحصل."
"Bank Account is required before marking as Deposited.","الحساب البنكي مطلوب قبل تعليم الشيك كمودع."
"Bank Account {0} belongs to Company {1}, not {2}.","الحساب البنكي {0} يتبع الشركة {1}، وليس {2}."
"Batch Date","تاريخ الحافظة"
"Batch Deposit Failed","فشل إيداع الحافظة"
"Bounce","تسجيل ارتجاع"
"Bounce %","نسبة الارتجاع ٪"
"Bounce Rate by Customer","معدل ارتداد الشيكات حسب العميل"
"Bounce Reason","سبب الارتجاع"
"Bounce Reason is required when bouncing a cheque.","سبب الارتجاع مطلوب عند تسجيل ارتجاع الشيك."
"Bounced Cheques Register","سجل الشيكات المرتجعة"
"Bounced Value","قيمة الشيكات المرتجعة"
"Bounced Value %","نسبة قيمة الشيكات المرتجعة ٪"
"Cancel Cheque","إلغاء الشيك"
"Cancelled Leaves","أوراق ملغاة"
"Cannot deposit a cheque whose Clearance Type is Cash. Cash cheques clear directly via the Cash Clear action.","لا يمكن إيداع شيك طريقة تحصيله نقدية. الشيكات النقدية تُحصَّل مباشرة عبر إجراء «تحصيل نقدي»."
"Cash Account","حساب النقدية"
"Cash Account is required to clear a cash cheque.","حساب النقدية مطلوب لتحصيل شيك نقدي."
"Cash Clear","تحصيل نقدي"
"Cheque Auditor","مراجع الشيكات"
"Cheque Batch","حافظة شيكات"
"Cheque Batch Item","بند حافظة الشيكات"
"Cheque Book","دفتر شيكات"
"Cheque Book (create the outgoing cheque from the Cheque form)","دفتر الشيكات (أنشئ الشيك الصادر من شاشة الشيك)"
"Cheque Book Utilization","استهلاك دفاتر الشيكات"
"Cheque Book and Leaf are required for Outgoing replacements.","دفتر الشيكات وورقة الشيك مطلوبان لاستبدال شيك صادر."
"Cheque Book is required for Outgoing cheques.","دفتر الشيكات مطلوب للشيكات الصادرة."
"Cheque Books","دفاتر الشيكات"
"Cheque Details","بيانات الشيك"
"Cheque Event","حدث الشيك"
"Cheque Leaf","ورقة شيك"
"Cheque Leaf {0} already exists in Cheque Book {1}.","ورقة الشيك {0} موجودة بالفعل في دفتر الشيكات {1}."
"Cheque Leaf {0} is already reserved for {1}.","ورقة الشيك {0} محجوزة بالفعل للشيك {1}."
